Itr,LossBefore,LossAfter,train-NumTrajs,train-EnvExecTime,Time,train-PolicyExecTime,train-MaxReturn,Time-Sampling,train-StdReturn,Time-Optimization,ItrTime,train-AverageReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MinReturn,n_timesteps,train-AveragePolicyStd
812,0.0012602694,-0.0070316675,267,10.5417160987854,11567.591660499573,0.8729214668273926,747.364530950047,11.830750942230225,142.01086661027344,2.2641263008117676,14.361500263214111,427.7189658399953,0.260631799697876,181.1784834177944,54.29856800007482,32520000,0.21434787
813,0.0014853626,-0.0080148475,270,10.329301118850708,11581.747495889664,0.8679933547973633,769.805776006778,11.614265203475952,135.43544591719785,2.2382099628448486,14.135632753372192,415.3194943421282,0.2771787643432617,178.94197666118976,29.163256141428647,32560000,0.21406771
814,0.0006503649,-0.0060694674,263,10.526152849197388,11596.13400220871,0.8784987926483154,773.628993613347,11.824944257736206,133.62424191969035,2.277069568634033,14.365527868270874,441.2546215399286,0.25759124755859375,186.5602317868258,157.79059951411702,32600000,0.21395428
815,0.00036702305,-0.005142579,277,10.581905364990234,11610.624197244644,0.8833863735198975,730.9677418675681,11.889234066009521,140.41308020743824,2.3121883869171143,14.47007703781128,410.43793435848136,0.2627711296081543,177.57082132234157,23.868387821741273,32640000,0.21377257
816,0.0019515529,-0.004461634,259,10.312204599380493,11624.781609535217,0.8625130653381348,789.5511624565069,11.58875584602356,147.3231947491465,2.2678234577178955,14.137414455413818,442.46055684493086,0.2748141288757324,183.7485448659948,15.37777919214978,32680000,0.21337108
817,0.00043744632,-0.0062138834,260,10.31455111503601,11638.930031061172,0.8681366443634033,754.4445050850345,11.597441673278809,130.71671534782362,2.266416072845459,14.128542423248291,426.15407159032634,0.2588789463043213,179.35044036734774,188.58432473974946,32720000,0.21283835
818,0.0011954755,-0.005965355,262,10.388283967971802,11653.160434007645,0.8665425777435303,715.239455802109,11.671007871627808,130.76323338501888,2.2599434852600098,14.209956407546997,437.89830059516703,0.2732059955596924,185.355980626928,100.09139438141119,32760000,0.21244466
819,0.00028546713,-0.0064118737,257,10.462139129638672,11667.49788570404,0.8775503635406494,784.553880992339,11.758130550384521,132.42023967293488,2.2888879776000977,14.31770944595337,439.05028686411106,0.264894962310791,183.4837122557425,84.96081616451758,32800000,0.21220624
820,0.002116674,-0.0065177674,262,10.46022629737854,11681.835951328278,0.8880910873413086,762.7147285219116,11.774076461791992,134.06382322740095,2.274894952774048,14.318963766098022,426.08998316683596,0.26405954360961914,180.213899630277,36.99224577035123,32840000,0.21213791
821,0.0014724977,-0.006708427,259,10.48704218864441,11696.197976827621,0.8811357021331787,881.5774759918279,11.792070388793945,141.14615425018656,2.286590814590454,14.342079639434814,443.4970077160911,0.2576017379760742,184.47194454118167,1.5790702613915266,32880000,0.21207373
