KL Divergence,R Predictions Std,Log Pis Std,Q Predictions Max,Policy mu Min,Number of rollouts total,Sample Time (s),Policy mu Max,AverageReturn_all_train_tasks,Q Predictions Min,RF Loss,V Predictions Min,Policy mu Mean,V Predictions Mean,Epoch Time (s),V Predictions Max,Log Pis Max,R Predictions Max,Q Predictions Std,(Previous) Eval Time (s),Z mean train,Total Train Time (s),KL Loss,R Predictions Mean,Number of train steps total,Train Time (s),Policy log std Std,Z variance train,Policy Loss,Policy mu Std,Z variance eval,QF Loss,Q Predictions Mean,Log Pis Min,Number of env steps total,V Predictions Std,R Predictions Min,Policy log std Mean,Epoch,Policy log std Max,Policy log std Min,Log Pis Mean,VF Loss,AverageReturn_all_test_tasks,Z mean eval
178.83181762695312,0.0010851,3.31735,1921.21,-4.77668,39179,5.062382186981267,5.51017,606.141642277,-39.8534,246.93,-49.251,0.31234,1008.88,147.92810477998864,1926.61,28.3036,0.00575269,339.166,17.8284820090048,1.23998,97469.04851541365,17.883182525634766,0.00116769,1320000,125.03724058400257,0.290941,0.000812078,-1008.12,0.86209,0.00140029,639.336,1006.91,-10.2932,2720000,335.335,-0.00274282,-0.76912,659,0.347166,-3.07854,0.874139,151.375,617.482111457,0.575704
170.4803466796875,0.00104441,3.43748,1559.97,-5.01263,39224,4.909664448001422,6.39628,605.206550418,-65.1752,266.476,2.31692,0.325269,1041.85,147.77961942601542,1559.86,34.9677,0.00415898,282.999,18.175543844001368,0.551531,97616.56096291468,17.04803466796875,0.00125835,1322000,124.69441113401263,0.288951,0.00211995,-1044.19,0.894582,0.000838784,753.319,1037.84,-8.34345,2724000,272.438,-0.0012863,-0.789503,660,0.704892,-3.03853,1.29214,202.528,623.935579639,0.865165
175.0878143310547,0.00111944,3.42741,1883.67,-4.9558,39272,4.857905365002807,4.92162,633.192004153,-124.412,284.177,-38.3024,0.333152,1176.98,147.47806337101792,1864.4,36.2732,0.00462699,290.723,17.912451715004863,1.21459,97763.76262294367,17.50878143310547,0.00115869,1324000,124.70770629101025,0.287086,0.000817177,-1170.64,0.888113,0.00201894,741.356,1167.31,-9.79077,2728000,279.803,-0.00179255,-0.796708,661,0.485024,-2.89456,1.22916,224.235,621.998107885,0.594546
158.49310302734375,0.00107956,3.0722,1746.3,-5.62265,39318,4.894522115995642,5.30142,607.843631471,-42.1558,260.801,-75.4816,0.289501,1001.77,147.20824931599782,1744.71,32.0053,0.00500363,297.225,17.64029687200673,0.562788,97911.52545065663,15.849310874938965,0.00121453,1326000,124.67343032799545,0.277654,0.00281278,-1002.79,0.841269,0.00188467,647.734,999.369,-9.91977,2732000,290.925,-0.00090729,-0.762842,662,0.303682,-2.98798,0.736299,138.895,628.237889835,0.64144
169.8357696533203,0.00110521,3.19907,1714.68,-4.07547,39366,4.945989193030982,4.7506,615.142845298,-37.012,210.566,-38.2595,0.323688,1026.11,147.32764234502974,1690.98,40.8285,0.00509245,252.135,18.19970602799731,0.775654,98058.35346141168,16.983577728271484,0.00139655,1328000,124.18194712400145,0.284,0.00149134,-1030.91,0.856158,0.00172459,659.864,1024.16,-7.78298,2736000,239.126,-0.0014169,-0.754496,663,0.287519,-3.02678,0.861727,158.055,603.400914134,0.501855
157.01255798339844,0.00106354,3.32831,1712.9,-6.45473,39414,4.946427657996537,9.79782,616.370638359,-141.87,249.687,-69.1893,0.381059,1194.26,146.21414213700336,1719.01,38.2647,0.00518295,258.001,17.70428586100752,1.02842,98205.00093909168,15.701255798339844,0.00120009,1330000,123.5634286179993,0.271494,0.00129043,-1194.32,0.855886,0.00101646,628.625,1184.68,-10.8633,2740000,242.459,-0.00280988,-0.797372,664,0.557354,-3.13243,1.09101,136.897,626.192414353,0.718223
155.52049255371094,0.00105526,3.23935,1720.4,-5.08544,39460,4.956568172012339,4.9912,621.719167943,-34.4695,245.11,-41.7458,0.327378,1012.4,147.79714563200832,1723.34,33.4196,0.00503545,271.475,18.142166060002637,1.01373,98353.13207340668,15.55204963684082,0.0013143,1332000,124.69841139999335,0.281393,0.0012485,-1011.41,0.876554,0.00181862,745.629,1006.07,-8.61611,2744000,265.883,-0.00134429,-0.78985,665,0.174464,-2.99461,1.16234,190.701,628.867431087,0.535874
160.06394958496094,0.00111259,3.1726,1661.29,-4.69986,39503,4.809059694991447,6.0564,622.011163914,-66.8572,214.864,-3.99896,0.297316,1123.69,147.05585645898827,1659.58,29.7583,0.00550907,272.438,18.480781174992444,0.730593,98499.70167429166,16.00639533996582,0.00145342,1334000,123.76601558900438,0.266582,0.00166712,-1128.82,0.869744,0.0015523,674.942,1119.58,-8.41517,2748000,256.594,-0.00174978,-0.765677,666,1.18666,-3.02253,0.850849,177.634,622.902615833,0.757147
154.50694274902344,0.000999327,3.44518,1544.55,-5.10879,39546,4.946371947007719,6.20759,604.789294077,-11.5147,238.093,-45.0379,0.264048,1038.93,147.57855397100502,1552.65,36.5119,0.00432962,301.649,17.999345966993133,0.600733,98647.32746046965,15.45069408416748,0.00122373,1336000,124.63283605700417,0.288059,0.00262798,-1037.72,0.857942,0.00167544,656.139,1031.3,-12.1231,2752000,296.213,-0.00155757,-0.775012,667,0.180596,-3.14845,0.762702,177.981,629.669196948,0.528233
162.8674774169922,0.00104769,3.29356,1471.26,-5.19518,39590,4.924857044999953,5.11961,597.381262401,-23.9661,218.762,4.45008,0.287874,932.708,146.6567470459995,1475.01,30.2821,0.00505659,247.259,18.051028066998697,0.959883,98793.70347440068,16.2867488861084,0.00125648,1338000,123.68086193400086,0.289985,0.00164426,-933.463,0.873355,0.00154224,457.461,928.053,-10.0006,2756000,243.688,-0.00177701,-0.758733,668,0.221759,-3.24873,0.94195,127.271,593.411338019,0.921353
