Itr,train-MinReturn,LossAfter,train-MaxReturn,Time-SampleProc,ItrTime,LossBefore,Time-Optimization,train-EnvExecTime,train-StdReturn,Time-Sampling,train-AverageDiscountedReturn,Time,train-NumTrajs,train-AveragePolicyStd,train-PolicyExecTime,train-AverageReturn,n_timesteps
852,81.30807225254823,-0.019598652,567.2593232871906,12.700591087341309,33.27825117111206,-0.0001248217,4.350987434387207,14.860112190246582,85.18584452517436,16.216815948486328,207.09540932802494,26982.154932022095,672,0.6026874,0.8965957164764404,279.6894635098403,34120000
853,82.43604102647436,-0.019942543,649.7029706640277,11.355844974517822,32.24371862411499,0.00015369963,4.371365308761597,15.134724617004395,84.34221785658308,16.50658869743347,204.16950518943435,27014.406106948853,683,0.60280806,0.9100863933563232,274.6036788813481,34160000
854,98.95715653346981,-0.019756421,675.60488657325,12.734315395355225,33.63871240615845,6.524e-05,4.387744426727295,15.138312578201294,89.51467810767197,16.50670075416565,204.259262247336,27048.051510572433,683,0.60270536,0.9117662906646729,275.56745546137205,34200000
855,80.29706820808968,-0.019477557,728.3224981244847,11.121831178665161,31.76394772529602,8.2841456e-05,4.3222057819366455,14.94998812675476,85.94676319790857,16.31003212928772,205.9792979004174,27079.822212934494,677,0.6023641,0.9072952270507812,277.7442074786277,34240000
856,95.21489338415881,-0.020242417,600.8344231600644,12.737179517745972,33.06233763694763,-4.1990417e-05,4.2725584506988525,14.703715801239014,84.02189122670805,16.042758464813232,205.33662078202673,27112.891804218292,679,0.6023007,0.8870489597320557,276.3270207606783,34280000
857,88.91968502646964,-0.019278163,621.4766370271864,11.28305196762085,32.08484697341919,8.1399585e-06,4.333802938461304,15.103474378585815,85.10485069485156,16.458178997039795,205.81052968251632,27144.98353624344,675,0.6020029,0.8978965282440186,277.5968916808528,34320000
858,87.1996623744593,-0.021024507,613.1019978036004,12.593476057052612,33.19627261161804,-0.00013252122,4.317800521850586,14.920965671539307,87.35747376306162,16.275150775909424,204.5569656895658,27178.18647813797,678,0.6015543,0.9006938934326172,275.86666012084567,34360000
859,87.4376786997001,-0.020093968,621.0414347537317,11.230167627334595,31.776483058929443,1.9214393e-05,4.314002513885498,14.883584260940552,86.46879928050801,16.222510814666748,209.655743128257,27209.969610214233,664,0.6013122,0.8880329132080078,284.27973533364013,34400000
860,77.56548406850094,-0.018717766,815.262936173298,12.700611591339111,33.21256709098816,-0.00015203543,4.320502519607544,14.833228826522827,88.26547181026866,16.181573152542114,205.72443647648646,27243.18883919716,673,0.60086405,0.8923125267028809,277.8680619692884,34440000
861,84.98168040303521,-0.01937729,644.7474462094274,11.609541177749634,32.33865308761597,0.0007088178,4.328817129135132,15.023659706115723,88.3861547845929,16.39038586616516,204.78021542343873,27275.53413748741,684,0.6004441,0.907376766204834,276.2542336260016,34480000
862,90.27409574218159,-0.018972948,696.2402443729334,11.260033130645752,31.82648730278015,0.00059393886,4.3199076652526855,14.890657424926758,84.9195879534709,16.236722707748413,203.21131573711784,27307.367123365402,687,0.5999591,0.8929145336151123,272.83098569764616,34520000
863,81.62691822297005,-0.019207375,689.1640058488117,12.541559219360352,33.16864371299744,4.7387934e-05,4.317519664764404,14.946382761001587,87.89399325495037,16.299729347229004,205.42093698905816,27340.542685747147,675,0.59958464,0.9003944396972656,277.37068209860894,34560000
864,84.47488663598617,-0.020649979,614.8601472630241,10.987762451171875,31.643831253051758,-3.5702564e-05,4.3563783168792725,14.948854923248291,85.19695035819684,16.289663553237915,209.6943444777874,27372.19299530983,662,0.59941053,0.8885200023651123,284.33039229108374,34600000
865,90.1125946636372,-0.01896827,567.0288629907789,12.4409499168396,33.150508642196655,-3.633338e-05,4.3751912117004395,14.980662822723389,80.86364088962901,16.32452940940857,205.73421116737583,27405.350090026855,671,0.59930694,0.8932318687438965,277.10159346547937,34640000
866,91.90374851006437,-0.02086549,635.4933950751937,11.151760578155518,31.82099986076355,0.00030931793,4.373234510421753,14.938050508499146,81.34961371487093,16.2861168384552,203.55400728658583,27437.178067207336,690,0.5994206,0.8935353755950928,272.6688066439891,34680000
867,90.45412903610517,-0.019823322,645.8811779053887,12.47239899635315,33.15796685218811,0.00042509317,4.352513074874878,14.982359886169434,85.59178397232779,16.323249578475952,206.99762027845284,27470.342767477036,670,0.59929967,0.8895370960235596,279.67324400231564,34720000
868,85.32319851765125,-0.018780781,596.0908282293839,11.293610095977783,32.02631211280823,0.00074439903,4.374486446380615,14.991664409637451,86.9070814342642,16.348418474197388,205.66032675495106,27502.375782966614,674,0.5989102,0.8943095207214355,277.6157701394102,34760000
869,83.42339624022856,-0.019960674,627.4087362228203,11.086154222488403,31.505122900009155,8.332495e-05,4.2864601612091064,14.782682657241821,84.65189947047934,16.122589588165283,204.32451920453434,27533.887544870377,683,0.5984275,0.8871357440948486,274.98831231625894,34800000
870,92.8026731473605,-0.019055802,567.0535433509854,12.6878821849823,33.22889280319214,0.00054037495,4.307976961135864,14.879455089569092,82.59216060573468,16.223142385482788,204.51634132794567,27567.123077630997,682,0.59790224,0.8887147903442383,275.0409178302948,34840000
871,86.71146166148444,-0.020179626,583.7142521475201,11.547162771224976,32.258704662323,9.950403e-05,4.336362838745117,15.022027969360352,86.219548485229,16.36536145210266,207.0485524800408,27599.388492822647,664,0.5974714,0.8900878429412842,280.25123072129355,34880000
872,88.28389561252168,-0.019401971,695.9021493366108,11.275381803512573,31.890613555908203,-0.00010877654,4.307748556137085,14.954695701599121,85.57722289755573,16.29762101173401,206.27364310414563,27631.285957574844,676,0.5971393,0.8890054225921631,278.35749109034583,34920000
873,81.77056329273478,-0.019730752,847.9002672531212,12.550108671188354,32.89358329772949,0.0007866459,4.267380475997925,14.731403827667236,92.9907577696667,16.06629729270935,205.5381989916725,27664.186326742172,669,0.59699416,0.8837366104125977,278.5547144963371,34960000
874,77.56407226339398,-0.020294085,670.2757793363214,11.167701005935669,31.717063188552856,2.6843529e-05,4.327807664871216,14.859173059463501,86.68902519007875,16.211706161499023,204.91720923685276,27695.910050868988,676,0.5969907,0.8959705829620361,276.49533396508974,35000000
875,82.29693708436868,-0.020857787,608.0161349324748,12.583041906356812,33.00788402557373,0.0004346575,4.311736583709717,14.761003732681274,87.42199110046172,16.103241443634033,201.22793484498916,27728.924798727036,694,0.5969634,0.8910210132598877,269.86563482422696,35040000
876,89.89042091096039,-0.019543514,651.5152856198173,11.238043069839478,31.76559591293335,0.00032459275,4.311023235321045,14.868559837341309,84.98667576099129,16.206605434417725,203.97652470241565,27760.69696855545,685,0.5967729,0.8874166011810303,274.2381596376641,35080000
877,82.50734679151856,-0.018640537,574.1333175661433,12.504854202270508,32.97219228744507,0.0006425901,4.311801195144653,14.803929328918457,83.47739164605072,16.1456356048584,202.40634149015705,27793.67622756958,698,0.5962985,0.888695478439331,270.9819055282547,35120000
878,89.2095652188489,-0.020524638,704.4699707322147,11.466500759124756,32.07175350189209,-7.566357e-05,4.34800910949707,14.889235973358154,91.28231348120448,16.24739122390747,202.5334306945469,27825.75460457802,687,0.59578764,0.8955888748168945,272.828442592196,35160000
879,85.36821930565998,-0.019159188,577.4089618085624,10.916141986846924,31.5555100440979,-9.262886e-05,4.364102840423584,14.919759035110474,85.66301963291448,16.26538372039795,201.34348055395955,27857.316946983337,693,0.5952671,0.8923196792602539,269.8601072366125,35200000
880,87.04882130802723,-0.020395467,709.4097898453591,12.337144374847412,32.736961364746094,1.1465943e-05,4.310107231140137,14.741912603378296,88.05089594531023,16.07987880706787,204.04216989816499,27890.060472249985,678,0.59486294,0.8874216079711914,275.0093402391789,35240000
881,85.97044588389574,-0.019596336,727.4405786103754,10.97447681427002,31.717144012451172,4.309271e-06,4.393510341644287,14.989210605621338,85.51705529143423,16.339304208755493,202.69790171386592,27921.78411269188,688,0.5948448,0.897167444229126,272.0688687526251,35280000
