V Predictions Max,Log Pis Max,Log Pis Min,R Predictions Min,Number of rollouts total,Policy log std Mean,V Predictions Mean,Sample Time (s),Number of train steps total,KL Loss,Policy mu Min,Policy log std Min,Policy log std Max,AverageReturn_all_train_tasks,V Predictions Min,Z variance train,Q Predictions Mean,Total Train Time (s),Log Pis Mean,(Previous) Eval Time (s),Q Predictions Std,QF Loss,Train Time (s),KL Divergence,AverageReturn_all_test_tasks,R Predictions Mean,Number of env steps total,Policy Loss,Epoch,Log Pis Std,R Predictions Max,V Predictions Std,Q Predictions Max,Q Predictions Min,R Predictions Std,VF Loss,Z mean eval,Epoch Time (s),Policy log std Std,Z mean train,Policy mu Std,RF Loss,Policy mu Max,Policy mu Mean,Z variance eval
1882.07,33.503,-9.59024,-0.0133813,48112,-0.772424,1339.16,4.992126522964099,1778000,17.284469604492188,-5.74728,-3.42084,0.245434,744.216826153,-55.0617,0.00142079,1335.24,131354.58791107242,1.2223,18.13969690000522,253.823,1147.54,125.3639280530042,172.84469604492188,729.055728228,-0.00587768,3636000,-1341.49,888,3.61055,0.00237066,234.82,1896.79,-71.7507,0.0026454,270.556,0.704499,148.49575147597352,0.268143,0.980737,0.934064,296.444,8.41488,0.268084,0.00134227
1923.5,32.3867,-8.35483,-0.0123989,48154,-0.764004,1271.71,4.886279156053206,1780000,16.628435134887695,-5.9693,-2.97138,0.0586597,744.81221251,-99.3068,0.00277576,1265.48,131502.09238051943,1.13408,18.324906850990374,262.92,877.169,124.78533190098824,166.2843475341797,728.354092575,-0.00576053,3640000,-1270.73,889,3.47957,0.00101003,252.583,1930.49,-62.4419,0.00260032,272.178,0.924471,147.99651790803182,0.263407,0.504227,0.9024,275.89,6.73347,0.294594,0.00132901
1990.97,31.8684,-13.9601,-0.0130038,48197,-0.766645,1479.46,5.053213758015772,1782000,15.406546592712402,-6.52382,-2.73724,0.192966,751.536939907,-61.6173,0.00283024,1471.93,131650.39582748353,1.2,17.839152324013412,269.867,725.674,125.51970954897115,154.06546020507812,726.485410825,-0.00583153,3644000,-1478.07,890,3.42034,1.58332e-05,251.282,1989.45,-50.4916,0.00252795,286.847,0.955484,148.41207563100033,0.255121,0.734487,0.889758,354.853,5.98419,0.385052,0.00130925
1939.09,28.3427,-13.1218,-0.0126211,48239,-0.757365,1345.82,4.817108891962562,1784000,14.991411209106445,-4.95178,-3.52626,0.214542,741.752268782,-183.236,0.0036868,1338.62,131797.63034042442,0.894132,17.73613248000038,250.124,806.63,124.97449403998326,149.9141082763672,729.667557273,-0.0057725,3648000,-1343.35,891,3.31093,2.36882e-05,234.094,1936.15,-84.7405,0.00250807,183.269,0.792437,147.5277354119462,0.251652,0.684832,0.874091,318.433,5.19854,0.309297,0.00119059
1910.51,38.2741,-7.77604,-0.0134103,48282,-0.781415,1421.67,4.768089107994456,1786000,16.145051956176758,-4.49482,-2.85213,0.213084,734.507930957,-58.3531,0.00140751,1416.9,131946.40908998542,1.10843,17.4488274739997,262.047,740.316,126.21009157400113,161.4505157470703,726.86134268,-0.00583248,3652000,-1422.06,892,3.32651,0.000326274,247.703,1898.73,-56.9483,0.00260414,203.943,0.800192,148.42700815599528,0.254754,1.13571,0.898793,330.295,6.0024,0.293673,0.00198815
2160.52,41.4174,-9.46762,-0.0126425,48323,-0.767276,1425.17,4.774493534991052,1788000,16.128196716308594,-5.41538,-2.71272,0.819794,745.331278979,-44.4925,0.00308128,1419.68,132093.63167081945,1.081,17.806312687986065,321.542,968.306,124.416077529022,161.28196716308594,726.70142657,-0.00569691,3656000,-1420.97,893,3.56223,0.000389801,309.285,2157.99,-33.554,0.0024295,304.578,0.655172,146.99688375199912,0.263125,0.839288,0.901214,360.656,6.7088,0.318135,0.00178976
2115.63,47.8696,-9.66737,-0.0132603,48364,-0.760963,1412.75,5.012233825109433,1790000,16.36016273498535,-5.32842,-2.30452,1.21087,736.228404919,-77.8194,0.00115486,1403.86,132241.18432169253,0.942629,18.038651951006614,289.388,773.28,124.75210109099862,163.60162353515625,728.450418084,-0.00561959,3660000,-1409.63,894,3.18764,-0.000202978,280.589,2128.4,-81.1548,0.00262775,168.858,0.744194,147.80298686711467,0.261664,1.28498,0.885032,321.417,7.48498,0.290911,0.00117642
2048.25,50.9365,-8.38899,-0.0138278,48405,-0.763699,1388.85,4.840845032973448,1792000,17.045177459716797,-6.78592,-3.17328,0.510168,729.914816043,-109.358,0.00129982,1378.22,132389.8520162835,1.21052,17.793976128014037,319.689,1141.56,125.66280282998923,170.45176696777344,734.861838779,-0.00559672,3664000,-1387.98,895,3.51015,0.000362945,302.62,2061.28,-122.248,0.00263192,252.81,0.455809,148.29762399097672,0.263077,0.919083,0.929407,334.836,9.71737,0.283531,0.00179665
2179.71,32.4579,-10.0701,-0.0132177,48445,-0.755725,1462.62,4.907246359070996,1794000,16.89627456665039,-6.18032,-2.587,0.676353,737.02163113,-41.1164,0.00221056,1456.79,132536.9823450106,1.19043,18.170228356000734,260.882,966.324,124.29462281800807,168.96273803710938,715.031731773,-0.0057358,3668000,-1462.42,896,3.19418,0.000219128,247.391,2179.33,-41.1684,0.00257518,182.151,0.779741,147.3720975330798,0.252007,0.765718,0.910269,325.572,11.5863,0.329186,0.000904201
2176.82,40.2867,-7.77231,-0.0128395,48485,-0.75439,1548.75,4.910929887002567,1796000,16.318029403686523,-4.71991,-2.72309,0.530391,743.458706545,-119.792,0.00210259,1546.36,132684.01023944255,1.11789,17.93446119100554,301.018,695.675,124.22599518098286,163.18028259277344,722.774230636,-0.00567888,3672000,-1550.82,897,3.41143,0.000414205,288.798,2205.77,-134.664,0.00244998,201.956,0.858624,147.07138625899097,0.258948,0.853032,0.894469,345.234,8.36195,0.368781,0.000972828
